title	start	end	name	year
The Making of the Mexican-American Mind, San Antonio, Texas, 1929-1941: A Social and Intellectual History of an Ethnic Community	1929	1941	Richard Garcia	1980
Capitalism and the Search for Justice: Economic and Social Thought in America, 1945-1981	1945	1981	Lauren Okroi	1982
The Elasticity of Economic Regulation in the United States: Law, Theory and the Federal Trade Commission 1968-1980	1968	1980	Bernice Hasin	1984
Refugee Economist in America: Ludwig Mises and American Social and Economic Thought, 1940-1986	1940	1986	Julian Del Gaudio	1987
Between Contadino and Urban Villager: Italian-Americans of New Jersey and New York, 1880-1980. A Comparative Exploration into the Limits of Bourgeois Hegemony	1880	1980	Michael Eula	1988
'We Mourn for Liberty in America': Socialist Women, Anti-Militarism, and State Repression, 1914-22	1914	1922	Kathleen Kennedy	1992
America and the First Congo Crisis, 1960-63	1960	1963	Michael Williams	1992
Domesticating Female Mastery: Reading Jane Austen in America, 1826-1926	1826	1926	Anne-Marie Scholz	1993
The Critical Partner: West German Opinion of American Leadership in International Economic Affairs, 1958-1973	1958	1973	Paul Roach	1994
'To Build Our Lives Together': African American Community Formation in the Redeemed South, Atlanta, 1875-1906	1875	1906	Allison Dorsey	1995
'Politics in an Age of Anxiety': Masculinity, the Vital Center, and American Political Culture in the Cold War, 1949-63	1949	1963	Kyle Cuordileone	1995
The Double Meaning of Addiction: Habitual Narcotic Use, Social Degradation, and Professional Medical Authority in the United States, 1870-1920	1870	1920	Timothy Hickman	1997
Marketing in Mexico: Sears-Roebuck Company, J. Walter Thompson, and the Culture of North American Commerce in Mexico during the 1940s	1940	1940	Julio Moreno	1998
Frontiers of Leisure: Nature, Memory, and Nationalism in American Parks, 1850-1930	1850	1930	Robert Fisher	2000
'The Call of the Open Road': Automobile Travel and Vacations in American Popular Culture, 1935-60	1935	1960	Thomas Heaney	2001
Sounding the City: Jazz, African American Nightlife, and the Articulation of Race in 1940s Los Angeles	1940	1940	Kyle Julien	2001
American Modernity and the Cultural Politics of Progressivism: The Survey and Survey Graphic, 1919-29	1919	1929	Robert Johnson	2002
Seeing American: Visual Education and the Making of Modern Observers, 1900-35	1900	1935	Elizabeth Wiatr	2003
Reorienting the Pure Land: Japanese Americans, the Beats, and the Making of American Buddhism, 1941-66	1941	1966	Michael Masatsugu	2004
All Join in the Chorus: Popular Music and the Formation of American Cinema, 1905-15	1905	1915	Matthew Mooney	2006
Integrating the Gridiron: Civil Rights and American College Football, 1935-70	1935	1970	Lane Demas	2008
Resistance from the Margins: Mexican American Radical Activism in Los Angeles, 1930-70	1930	1970	Enrique Buelna	2008
Constructing a Filipino American Cold War Social Imaginary, 1945-65	1945	1965	Daniel Borses	2012
Practiced Healing: Case Studies in the Medical History of the American West, 1860-1900	1860	1900	Jana Remy	2012
Politics, Community, and Pleasure: The Making of Mexican American Cold War Narratives in the Pages of La Opinion, 1945-60	1945	1960	Soledad Vidal	2012
American Dream Deferred: Filipino Nationals in the US Navy and Coast Guard, 1947-70	1947	1970	Proceso Paligutan	2013
Hormonal Bodies: Sex, Race, and Constitutional Medicine in the Iberian-American World, 1900-50	1900	1950	Kurt MacMillan	2013
Winter in America: A Cultural History of the Rise of Neoliberalism, 1960s-80s	1960	1960	Daniel McClure	2013
Engineering the Desert: American Expansion and Global Expertise in the Colorado Desert, 1845-1920	1845	1920	Eric Steiger	2013
Hamilton Fish and American Isolationism, 1920-1944	1920	1944	Richard Hanks	1971
Ipswich, Massachusetts, during the American Revolution, 1763-1791	1763	1791	Arlin Ginsburg	1972
Caesar's Sabbath: The Sunday Law Controversy in the United States, 1879-1892	1879	1892	Dennis Pettibone	1979
The United States Air Force Officer Corps, 1944-1970 (Officer Corps)	1944	1970	Vance Mitchell	1988
Gender and Justice: Women Police in America, 1910-46	1910	1946	Janis Appier	1993
The Flying Wedge of Cooperation: G. Harold Powell, California Orange Growers, and the Corporate Reconstruction of American Agriculture, 1904-22	1904	1922	Herman Moses	1994
'All Things to All Men': Popular Religious Culture and the Anglican Mission in Colonial America, 1701-50	1701	1750	Annette Laing	1995
As the Wolf from the Dog: American Overseas Exploration and the Compartmentalization of Humankind,1838-1859	1838	1859	Barry Joyce	1995
We Are Not Savages: Native Americans in Southern California and the Pala Reservation, 1840-1920	1840	1920	Joel Hyer	1999
'The River Floweth On': The African Social and Cultural Origins of Black Resistance in North America, 1712-1831	1712	1831	Walter Rucker	1999
'To the Edge of the World and Back': Native American Struggles for Sovereignty as Seen Through the Investigations Colonel L.A. Dorrington, Indian Agent, 1913-23	1913	1923	Thomas Long	2006
Placing Civilization: Progressive Colonialism in Health and Education from America to the Philippines, 1899-1920	1899	1920	Michael Seager	2009
Fujimoto Diaries, 1941-46: Japanese American Community in Riverside, California, and Toranosuke Fujimoto's National Loyalties to Japan and the United States during the Wartime Internment	1941	1946	Akiko Nomura	2011
African Americans, the Spanish-American War, and Philippine Insurrection: Military Participation, Recognition, and Memory, 1898-1904	1898	1904	Timothy Russell	2013
Wilson and Tinoco: The United States and the Policy of Non-Recognition in Costa Rica, 1917-1919	1917	1919	Hugo Murillo-Jimenez	1978
'This Tender and Delicate Business': The Public Trust Doctrine in American Law and Economic Policy, 1789-1920	1789	1920	Molly Selvin	1978
Education, Politics, and Imperialism: The Reorganization of the Cuban Public Elementary School System during the First American Occupation, 1899-1902	1899	1902	Carlos Rodriguez-Fraticelli	1984
The Allied Reconstruction of the Berlin Police, 1945-1948	1945	1948	Gilbert Jones	1986
The Moral Renovation of the Californias: Tijuana's Political and Economic Role in American and Mexican Relations, 1920-1935	1920	1935	Vincent C. de Baca	1991
Civic Identity and Reconstruction in Augsburg, 1945-55	1945	1955	Erik Maiershofer	2004
The Death of Civilization: Hermann Broch's American Exile, 1938-51	1938	1951	Donald Wallace	2006
'A Modest Manliness': The Boy Scouts of America and the Making of Modern Masculinity, 1910-30	1910	1930	Benjamin Jordan	2009
Claiming Victims: The Mann Act, Gender, and Class in the American West, 1920-30s	1920	1930	Kelli McCoy	2010
The Fund for the Republic, 1951-1957: An Unusual Chapter in the History of American Philanthropy	1951	1957	Thomas Reeves	1966
A Social and Diplomatic History of American Extremism, 1933-1941	1933	1941	Geoffrey Smith	1969
The Old West in Anglo-American Relations, 1783-1803	1783	1803	Ian Mugridge	1969
The Northwest Ordinance of 1787: American Blueprint for Empire	1787	1787	Chad Wozniak	1970
American Society and the Cult of Domesticity, 1830-1860	1830	1860	Mary Ryan	1971
Dr. Thomas W. Evans, American Dentist in Paris, 1847-1897	1847	1897	Anthony Branch	1971
The Uses and Abuses of Montesquieu's Theories in America 1787-1788	1787	1788	Barbara Shirk	1972
The British Impact upon the American Mind, 1929-1939	1929	1939	Gary Land	1973
The Politics of Drug Control: The United States and Latin America, 1900-1945	1900	1945	William Walker	1974
Assault on the American Dream: A History of the Youth Revolt, 1955-1965	1955	1965	John Pendleton	1974
The Intellectual Origins of the Cold War: American Policymakers and Policy, 1933-1945	1933	1945	Maurice Conway	1974
Slavery and Diplomacy: The United States and Saint Domingue, 1791-1793	1791	1793	Timothy Matthewson	1976
The First Student Movement: Student Activism in the United States during the 1930s	1930	1930	Ralph Brax	1976
America in Europe: Interaction of Popular Cultures 1945-1976	1945	1976	J. Bruce Anderson	1976
The Administration of Military Justice in the Continental Army during the American Revolution, 1775-1783	1775	1783	Robert Berlin	1976
The Eagle and the Fasces: The United States and Italy, 1935-1939	1935	1939	Rolfe Buzzell	1977
Technology in Revolutionary America, 1760-1790	1760	1790	Neil York	1978
Cultural Dissonance in Mexican-American Relations: Ethnic, Racial, and Cultural Images and the Coming of War, 1846	1846	1846	Andrew Farrand	1979
The American Commitment to the Mediterranean Marketplace, 1776-1801	1776	1801	Charles Keene	1979
Political Development in Chinese America, 1850-1911	1850	1911	Douglas Lee	1979
The Function of China in American Global and Regional Planning, 1941-1951	1941	1951	John Oakland	1979
The German Reaction to the American Occupation, 1944-1947	1944	1947	Verena Botzenhart-Viehe	1980
Alice Henry, the National Women's Trade Union League of America and Progressive Labor Reform, 1906-1925	1906	1925	Diane Kirkby	1982
Precedents for Social Responsibility among Scientists: the American Association of Scientific Workers and the Federation of American Scientists, 1938-1948	1938	1948	Elizabeth Hodes	1982
Banking in the American South, 1836-1865	1836	1865	Larry Schweikart	1984
The Morgan Papers: The Impact of George Morgan and George Washington in Formulating Indian Policies at the Outbreak of the American Revolution in 1776	1776	1776	Greg Schaff	1984
American Historians at the Versailles Peace Conference, 1919: The Scholar as Patriot and Diplomat	1919	1919	Jon Nielson	1986
The Diplomacy of Captivity: Europe, the United States, and Prisoners of War, 1914-1919	1914	1919	Richard Speed	1988
The Development of Roman Catholic Social Liberalism in the United States, 1887-1935	1887	1935	Anthony Pastor-Zelaya	1988
Conflict, Resolution and Indian Treaties on the American Indian Frontier, 1730-1768	1730	1768	Steve Ireton	1988
Manufactured Weather: A History of Air-Conditioning in the United States, 1902-1955	1902	1955	Gail Cooper	1988
Adventures and Prophets: American Autobiographers in Mexican California, 1828-1847	1828	1847	Charles Churchill	1989
Loans and Legitimacy: Soviet-American Trade and Diplomacy, 1919-1929	1919	1929	Katherine Siegel	1991
The Development and Effects of the New Protectionism in the United States since the Passage of the Trade Act of 1974	1974	1974	Simon Tang	1991
Organizing the American Right, 1945-1964	1945	1964	Niels Bjere-Poulsen	1994
Pearl Chase, John Collier, and Indian Reform through the New Deal: Native American Affairs in California and the West, 1880-1937	1880	1937	Tomas Salinas	1995
The Final Frontier: A History of Assisted Suicide in the United States, 1938-91	1938	1991	Valery Garrett	1999
From the French to the Americans: Intra-Alliance Politics, Cold War Concerns, and the Cultural Conflict in Vietnam, 1950-60	1950	1960	Kathryn Statler	1999
'Americanization: The California Plan': The Commission of Immigration and Housing of California and Public Policy, 1913-23	1913	1923	Christina Ziegler-McPherson	2000
The Garbage Kings Sing Songs of Cash: An Economic History of American's Garbage Trades, 1880-1989	1880	1989	William McGowan	2001
The United States, Great Britain, and the Dismantling of Italian Fascism, 1943-48	1943	1948	Kimber Quinney	2003
Neurasthenic Nation: The Medicalization of Modernity in the United States, 1869-1920	1869	1920	David Schuster	2006
The Twin Crisis and the Anglo-American Alliance, 1961-62	1961	1962	Toshihiko  Aono	2007
Americanizing Japanese Women and Families on Hawai'i's Sugar Plantations, 1885-1941	1885	1941	Sharleen Levine	2009
Mixed Race Rebels: The Regalia of Race and National Identity in the United States, 1865-1935	1865	1935	Ingrid Page	2009
International Labor Standards and the Building of Two Postwar Orders: The United States and the International Labor Organization, 1919-54	1919	1954	Jill Jensen	2011
A History of Mexican and Mexican Americans in the Coal Mining Regions of the Rocky Mountain West, 1880-1928	1880	1928	Monica Garcia	2013
Loving Luxury: The Cultural Economy of the Japanese American Home, 1920s	1920	1920	Chrissy Lau	2013
Advantage through Crisis: Multiracial American Japanese in Post-World War II Japan, Okinawa, and the US, 1945-72	1945	1972	Lily Welty	2013
Colorblind Empire: International Adoption, Social Policy, and the American Family, 1945-76	1945	1976	Rachel Winslow	2013
Unsettled Controversies: The Anti-Prostitution Movement and the Transformation of American Political Culture, 1910-19	1910	1919	Hiroyuki Matsubara	2005
Beyond Two Homelands: Nationalism, Loyalty, Citizenship, and Japanese Americans in the Pacific, 1930-55	1930	1955	Michael Jin	2012
A Refuge from Militarism? The Canadian Movement to Support Vietnam Era American War Resisters, and Government Responses, 1965-73	1965	1973	Jessica Squires	2009
American Social Science and Liberal Internationalism, 1865-1919	1865	1919	Brian Foster	2013
Women’s Roles: Work and Fertility for American Women Between 1900 and 1979	1900	1979	Susan Van Horn	1980
American journalistic Perceptions of the Death of Weimar Germany: January 1932–March 1933	1932	1933	George Herrmann	1980
The Image of Eugene V. Debs in the American Popular Mind, 1894-1926	1894	1926	Murray Kaufman	1981
Organizing White Collar Workers: The United Steelworkers of America and the Office and Professional Employees International Union 1940-1980	1940	1980	Susan Lewis	1988
The Forces Without: The Regulations of Chinese Female Immigration to America, 1852-1862	1852	1862	George Peffer	1989
The Transformation of American Catholicism: The Pittsburgh Laity and the Second Vatican Council, 1950-80	1950	1980	Timothy Kelly	1990
Drawing the Line: American Mennonites, the State, and Social Change, 1935-73	1935	1973	Perry Bush	1991
The Evolution of Ethnicity: Fascism and Anti-Fascism in the Italian American Community, 1914-45	1914	1945	Madeline Goodman	1993
Modern Drug, Modern Menace: The Legal Use and Distribution of Cocaine in the United States, 1880-1920	1880	1920	Joseph Spillane	1994
Students and the Emergence of Modern International Education in the United States, 1910-70	1910	1970	Liping Bu	1995
A Sacred Suburban Subculture: The North American Orthodox Jewish Community, 1950-85	1950	1985	Etan Diamond	1996
'A Substance of Things Hoped For': Multiculturalism, Desegregation, and Identity in African American Washington, D.C., 1930-60	1930	1960	Donald Collins	1997
The Rise of Graduate Management Education in American Universities, 1908-70	1908	1970	Robert Gleeson	1997
'No Tickee, No Shirtee': Chinese Laundries in the Social Context of the Eastern United States, 1882-1943	1882	1943	Shiow-Huey Wang	1997
The Slave Mississippi: African American Steamboat Workers, Networks of Resistance, and the Commercial World of the Western Rivers, 1811-80	1811	1880	Thomas Buchanan	1998
Defining Ourselves: Gender Construction in Pittsburgh's African American Community, 1935-60	1935	1960	Ancella Livers	1998
Technical Diversity and Technological Change in the American Semiconductor Industry, 1952-65	1952	1965	Daniel Holbrook	1999
Cops and Kids: The Police and Juvenile Delinquency in Three American Cities, 1890-1940	1890	1940	David Wolcott	2000
'On the Ramp': Ground Service Workers in the American Airline Industry, 1930-70	1930	1970	Liesl Orenic	2000
From Laboratory to Living Room: The Development of Television in the United States, 1920-60	1920	1960	Jennifer Bannister	2001
For Appearances' Sake: African American Women's Commercial Beauty Culture, 1920-70s	1920	1970	Susannah Walker	2001
From Prevention to Infection: Intramural Aerobiology, Biomedical Technology, and the Origins of Biological Warfare Research in the United States, 1910-55	1910	1955	Gerard Fitzgerald	2003
Controlling Urban Weeds: People, Plants, and the Ecology of American Cities, 1888-2003	1888	2003	Zachary Falck	2004
Rivets and Rights: African-American Workers and Shipbuilding in the San Francisco Bay Area, 1890-1948	1890	1948	Robin Jenkins	2004
Fit to Be Tied? Sterilization and Reproductive Rights in America, 1960-84	1960	1984	Rebecca Kluchin	2004
'Don't Hold Your Breath, Fight For It!' Women's Activism and Citizen Standing in Pittsburgh and the United States, 1965-75	1965	1975	James Longhurst	2004
Mightier than the Sword: Working-Class Reading, Educational Politics, and American Socialists' Printed Culture of Dissent, 1897-1917	1897	1917	Jason Martinek	2005
Carnival of Blood? African American Workers and the Building of the Pittsburgh, Bessemer and Lake Erie Railroad, 1897-1912	1897	1912	Charles Lee	2006
The Cold War and American Industrial Research, 1945-72	1945	1972	Glen Asner	2006
Cornering the Market: Independent Grocers and Innovation in American Small Business, 1860-1940	1860	1940	Susan Spellman	2009
From Snobs to Slobs: Collegiate Culture and the Transformation of the American Wardrobe, 1900-60	1900	1960	Deirdre Clemente	2010
Did the Irish Become White? Race and Migration in Ireland, Australia, and the United States, 1842-77	1842	1877	Cian McMahon	2010
Federal Regulatory Management of the Automobile in the United States, 1966-88	1966	1988	Lee Vinsel	2011
Home Cooking: American Kitchen Technologies from Producer to Consumer, 1900-50	1900	1950	Michelle  Mock	2011
Making the Medical Metropolis: Academic Medical Centers and Urban Change in Three American Cities, 1945-2010	1945	2010	Andrew Simpson	2013
One Hundred Years of American Etiquette (1776–1876)	1776	1876	Ruth Sloan	1939
The National Society of the Daughters of the American Revolution: Its History, Policies, and Influence, 1890–1949	1890	1949	Lucille LaGanke	1951
British Views of Emigration to North America, 1837–60	1837	1860	Wilbur Shepperson	1951
American Churches and American Territorial Expansion, 1830–50	1830	1850	Donald Gorrell	1960
The Impact of United States Occupation Policy on the Socio-Political Structure of South Korea, 1945-1948	1945	1948	Won Sul Lee	1961
The Forgotten Section: The Middle Colonies and the American Revolution, 1774-1776	1774	1776	John Neuenschwander	1971
The United States Navy and the Suppression of the West African Slave Trade, 1819-1862	1819	1862	Earl McNeilly	1973
United States-Panamanian Relations: 1958-1973	1958	1973	Kent Minor	1974
Mexico and the United States, 1912-1917: A Study of Selected Writings of Isidro Fabela	1912	1917	Francisco Balmaseda-Nitpoles	1974
The Debate Surrounding Direct Maritime Subsidies to the American Merchant Marine: 1936-1960	1936	1960	Larry Banks	1975
A History of Veterans' Homes in the United States, 1811-1930	1811	1930	Judith Celina	1977
Ohio Columbus Barber, 1841-1920, An American Industrialist	1841	1920	William Fleming	1977
Americanization and Mexicanization: The Mexican Elite and Anglo-Americans in the Gadsden Purchase Lands, 1853-1880	1853	1880	Marcy Goldstein	1977
From Philanthropy to Reform: The American Red Cross in China, 1906-1930	1906	1930	Karen Brewer	1983
Curators and Culture: An Interpretive History of the Museum Movement in America, 1773-1870	1773	1870	Joel Orosz	1986
Justice in a Democracy: A Comparison of Plea Bargaining Practices in the United States and Canada, 1920s-80s	1920	1920	Hedieh Nasheri	1991
Women, Work, and Technology: The Steam Laundry Industry in the United States and Britain, 1880-1920	1880	1920	Arwen Mohun	1992
'In Those Days': African-American Catholics in Cleveland, 1922-1961	1922	1961	Dorothy Blatnica	1992
From Court Room to Board Room: Immigration, Juries, Corporations, and the Creation of an American Proletariat. A History of Workmen's Compensation, 1898-1915	1898	1915	Paul Bellamy	1994
Armor of Patience: The National Cancer Institute and the Development of Medical Research Policy in the United States, 1937-71	1937	1971	Nancy Erdey	1995
The Modern Hotel in America, 1829-1929	1829	1929	Molly Berger	1997
The Quest to Be Modern: The Adoption of Electric Light and Power Technology in Small-Town America, 1880-1920	1880	1920	MaryAnn Hellrigel	1997
Shaping Modern Youth: Social Policies and Growing Up Working Class in Industrial America, 1890-1945	1890	1945	Patrick Ryan	1998
Periodicals and the Unwelcome Immigrants: Image of Chinese Americans during the Period, 1900-24	1900	1924	Shirley Tam	1998
Taming the Lightning: American Telegraphy as a Revolutionary Technology, 1832-60	1832	1860	David Hochfelder	1999
Creating the Steel Chapel: A Study of Commercial Office Furniture Design in the United States, 1876-1925	1876	1925	Terrence Uber	2001
Equity and Efficiency: African American Leadership and Educational Reform in Cleveland, Ohio, 1915-40	1915	1940	Regennia Williams	2001
Chasing Sound: The Culture and Technology of Recording Studios in America, 1877-1977	1877	1977	Susan Schmidt Horning	2002
African American Community Politics and Racial Equality in Cleveland Public Schools, 1933-73	1933	1973	Donna Whyte	2003
An American Religious Movement's Response to Change in the Early 20th Century: A Study of the Stone-Campbell Colleges Founded between 1900 and 1940	1900	1940	Robin Underhill	2004
The Mellon Tax Plan: The Income Tax and the Penetration of Marginalist Economic Thought into American Life and Law in the 1920s	1920	1920	M. Susan Murnane	2005
Exscinded! The Schism of 1837 in the Presbyterian Church in the United States of America and the Role of Slavery	1837	1837	Catherine Borchert	2009
The Catholic Hierarchy of the United States, 1790-1922	1790	1922	John O'Donnell	1922
Financial History of the United States, 1811–16	1811	1816	Peter Nielson	1926
A Re-Study of the Movement toward American Independence, 1760–78	1760	1778	Lawrence Davitt	1929
The Comte de Vergennes: European Phases of His American Diplomacy (1774–80)	1774	1780	John Meng	1932
American Public Opinion on the Diplomatic Relations between the United States and the Papal States (1847–67)	1847	1867	Loretta Feiertag	1933
Pontifica Americana: A Documentary History of the Catholic Church in the United States, 1784-1884	1784	1884	Donald Shearer	1933
The Ludwig-Missionsverein and the Church in the United States (1838–1918)	1838	1918	Theodore Roemer	1934
Edmund Bailey O'Callaghan: A Study in American Historiography (1797–1880)	1797	1880	Francis Guy	1935
The Beginnings of the Society of St. Sulpice in the United States (1791–1829)	1791	1829	Joseph Ruane	1935
Catholic Apologetical Liter ature in the United States (1784–1858)	1784	1858	Robert. Gorman	1939
French Emigré Priests in the United States (1791–1815)	1791	1815	Leo Ruskowski	1940
The American Secular News papers and the Vatican Council, 1869–70	1869	1870	J. Ryan Beiser	1942
American Opinion on the Kulturkampf, 1871–82	1871	1882	Mary Kolbeck	1942
The Fenian Movement in the United States, 1858–86	1858	1886	William D'Arcy	1947
First Apostolic Delegation in Rio de Janeiro and Its Influence in Spanish America: A Study in Papal Policy, 1830–40	1830	1840	William Coleman	1950
German Nationality and American Catholicism, 1865–1914	1865	1914	Colman Barry	1952
The National Civic Federation and the American Labor Movement, 1900–25	1900	1925	Marguerite Green	1956
Las noticias secretas de America: estudio critico de las acusaciones de Ulloa sobre general relajacibn del clero colonial 1720–65	1720	1765	Luis Merino	1957
Italo-American Diplomatic Relations, 1861–82	1861	1882	Mary Trauth	1958
The Diplomatic Relations between the United States and Mexico, as Affected by the Struggle for Religious Liberty in Mexico, 1925–29	1925	1929	Mary Rice	1959
The American Years of John Boyle O'Reilly, 1870–90	1870	1890	Francis MeManamin	1959
The United States and the International Movement to Control the Traffic in Narcotic Drugs, 1900-1939	1900	1939	Arnold Taylor	1963
The Role of Nelson Trusler Johnson in Sino-American Diplomatic Relations, 1930-1935	1930	1935	M. Gabriel Hubert	1964
The Activity of the Foreign Press Service of the NSDAP in the United States, 1937-1941	1937	1941	M. Campion Kuhn	1964
William Henry Harrison Miller, Attorney General of the United States, 1889-1893	1889	1893	Maria Quinn	1965
The War of 1812 and American Religion	1812	1812	William Gribbin	1968
The Impact of Bishop Charles Henry Brent upon American Colonial and Foreign Policy, 1901-1917	1901	1917	Emma. Portuondo	1969
Early Latin American-United States Contacts: An Analysis of Jeremy Robinson's Communications to the Monroe Administration, 1817-1823	1817	1823	Richard Gronet	1970
The Catholic University of America, 1909-1928: The Rectorship of Thomas Joseph Shahan	1909	1928	Blase Dixon	1972
Tensions in American Catholicism, 1820-1870, an Intellectual History	1820	1870	Leon LeBuffe	1973
David Augustus Straker, Black Lawyer and Reconstruction Politician, 1842-1908	1842	1908	Dorothy Hawkshawe	1974
The Press in Florida, Louisiana, and South Carolina and the End of Reconstruction, 1865-1877: Southern Men with Northern Interests	1865	1877	Charles Ritter	1976
Indigenous Latin American Sea Power, 1890-1974	1890	1974	Robert Scheina	1976
The General Fellowship Program of the Organization of American States 1958 to 1968	1958	1968	Francis Murray	1977
A Comparative Social Study of the Members and Apostolates of the First Eight Permanent Communities of Women Religious: Within the Original Boundaries of the United States, 1790-1850	1790	1850	Barbara Misner	1981
The National Conferences on the Problems of the Negro and Negro Youth, 1937 And 1939: A Comprehensive Program for the Full Integration into the Benefits and Responsibilities of the American Democracy	1939	1939	Joseph Taylor	1986
Musicians and Technology, 1920-60s: A Brief History of the American Federation of Musicians	1920	1960	John Mancini	1996
Charles Rozmarek, the Polish-American Congress, and Their Influence on United States Foreign Policy toward Poland, 1944-52	1944	1952	Monica Podbielski	1997
Proving Grounds: New England Colleges and the Emergence of Liberal America, 1790-1870	1790	1870	Kenneth Nivison	2000
Being French in America, 1780-1820	1780	1820	Evelyn Kassouf Spratt	2004
God and Caesar: John C. Ford, S.J., Moral Theology, and Catholicism in the United States, 1937-68	1937	1968	William Fischer	2004
The Mustard Seed in Montana: Father Eli W. J. Lindesmith and the Spirit of Order and Progress in the American West, 1880-91	1880	1891	Carlos Davila	2006
The Cultural Transition and the Attitude of Polish Immigrant Families towards Divorce and Parental Authority in the United States, 1931-40	1931	1940	Stanislaw Hajkowski	2010
Band of Brothers: The Negotiation of Identity within the American Congregation of the Mission and Its New England Province, 1903-99	1903	1999	Charles Kaczynski	2010
American Catholic Missions to Japanese in the United States: The Intersection of Religion, Cultures, Generation, Genders, and Politics, 1910-70	1910	1970	Yuki Yamazaki	2012
Mill Girls and Strangers: Single Women's Migration in England, Scotland, and the United States, 1850-81	1850	1881	Wendy Gordon	1999
Student Protest in Britain and the United States in the 1960s	1960	1960	Caroline Hoefferle	2000
Family Spats: Perception, Illusion, and Sentimentality in the Formation of the Modern Anglo-American Special Relationship, 1950-76	1950	1976	Robert Hendershot	2006
Canada and the United States, 1815-30	1815	1830	David Moore	1910
Joseph Holt, Judge Advocate General (1862–75): A Study in the Treatment of Political Prisoners by the United States Government during the Civil War	1862	1875	Mary Allen	1927
The Americanization of French Louisiana: A Study of the Process of Adjustment between the French and the Anglo American Population of Louisiana, 1803-60	1803	1860	Lewis Newton	1929
The Influence of Edward Kellogg upon American Radicalism, 1865–96	1865	1896	Chester Destler	1932
The Reaction of American Protestant Churches to the Darwinian Philosophy, 1860–1900	1860	1900	Windsor Roberts	1936
The Diplomatic Relations be tween the United States and Venezuela, 1830–64	1830	1864	William Gray	1937
Pioneer Marketing Associations of the American Book Trade, 1873–1901	1873	1901	Joe Norris	1938
The Dynamics of American Expansion toward Japan, 1791–1860	1791	1860	Allan Cole	1940
The Central-American Federation, 1826–39: A Political Study	1826	1839	Harold Fields	1942
Economic Relations of the United States and Colombia, 1920-40	1920	1940	George Faust	1946
American Capital and Technology in Northwest Mexico, 1876–1911.	1876	1911	David Pletcher	1946
The Old Northwest of the Middle Period in American Historical Writing from 1865–1944.	1865	1944	Harry Stevens	1946
The Technological Development of Central America, 1823–1913.	1823	1913	Harry Jackson	1948
Henry L. Stimson and American Policy toward the Chinese Eastern Railway Dispute of 1929.	1929	1929	Herbert Spielman	1949
Percival Farquhar: American Promoter in Latin America, 1900–14.	1900	1914	Davidson McKibbin	1949
French Secret Agents in America, 1763–78.	1763	1778	Josephine Pacheco	1950
The American Socialist Party, 1897–1912.	1897	1912	Ira Kipnis	1950
Reconstruction Polities in Illinois, 1860–72.	1860	1872	Harris Dante	1950
The Development of the Far East as an American Naval Problem, 1897–1909	1897	1909	William Braisted	1950
The Impact of the Far East of the United States, 1840-60.	1840	1860	Myrl Young	1951
The United Automobile Workers of America, 1935–51.	1935	1951	George Blackwood	1951
Thomas Paine in America, 1774–87.	1774	1787	Arnold King	1951
Economic Relations of the United States with Italy, 1919–49.	1919	1949	John Pfau	1951
Mexican-American Relations, 1913–20: A Reappraisal.	1913	1920	William Rossiter	1952
Diplomatic Relations between the United States and Nicaragua, 1920–33.	1920	1933	William Russell	1953
The United States and Puerto Rico, 1797–1830.	1797	1830	Arturo Santana	1953
Congressional Opinion of Soviet American Relations, 1945–50.	1945	1950	Albert Sellen	1954
The South and the United States Foreign Policy, 1933–52.	1933	1952	Elmo Roberds	1954
American Economic Enterprises in Korea, 1895–1939.	1895	1939	Dean Arnold	1954
The Export-Import Bank and Latin America, 1934–45.	1934	1945	Edward Elsasser	1954
The Chicago Symphony Orchestra, 1891–1942-A Study in American Cu tural History.	1891	1942	Ellis Johnson	1955
The Treaty of 1911 and the Immigration and Alien Land Law Issue between the United States and Japan, 1911–13,	1911	1913	Temko Kachi	1957
College Literary Societies: Their Contribution to Higher Education in the United States, 1815–76.	1815	1876	Thomas Harding	1957
Economic Development and American Foreign Policy, 1865-1892	1865	1892	Harold Baron	1963
Selected Aspects of American Activity in Mexico, 1876-1910	1876	1910	Howard. Ryan	1964
The Genesis of the American Involvement in Indo-China, 1940-1954	1940	1954	John Kahler	1964
Lyman Beecher and the Transformation of American Protestantism, 1775- 1863	1775	1863	Vincent Harding	1965
Theoharis, Athan G. The Yalta Myths: An Issue in American Politics, 1945-1955	1945	1955	Athan Theoharis	1965
The Role of the 'Colonial' Press in the Italian-American Community of Chicago, 1886-1921	1886	1921	Humbert Nelli	1965
Southern Politics and American Reunion, 1865-1914	1865	1914	John Perman	1969
The Art Crusade: A Study of American Drawing Books and Lithographs, 1830-1860	1830	1860	Peter Marzio	1969
The Education of Urban Americans: Boston, 1789-1860	1789	1860	Stanley Schultz	1970
The Image of the City in the American Film: 1896-1928	1896	1928	George Mitchell	1971
Abstinence and Reform: The Public Debate regarding the Basic Principles of American Foreign Policy, 1945-1947	1945	1947	Wesley Wooley	1971
American Politics in Polonia's Capital, 1888-1940	1888	1940	Edward Kantowicz	1972
The Search for an Urban Discipline: Police Reform as a Response to Crime in American Cities, 1800-1875	1800	1875	David Johnson	1972
The City in Fiction: Perceptions of Urbanization in the Middle-Class American Novel, 1880-1920	1880	1920	Arthur Margon	1972
The Development of American Archaeology, 1800-1879	1800	1879	Thomas Tax	1973
