title	start	end	name	year
Church, Economy, and Society in Fn de siècle Austria: The Origins of the Christian Social Movement, 1875-1897	1875	1897	John Boyer	1975
British Export Promotion in South America, 1918-1932	1918	1932	Ray Kinder	1975
The Two Congresses: A Study of the Changing Roles and Relationships of the National Legislature and Washington Reporters, as Revealed Particularly in the Press Accounts of Legislative Activity, 1860-1913	1860	1913	Vincent Howard	1976
The Effect of the War Debt Question upon French Internal Politics and Diplomacy, 1924-1926	1924	1926	Mitchell Serota	1976
The Introduction of Steam Technology in the French Navy, 1818-1852	1818	1852	Stephen Roberts	1976
The Ottoman Ulema 1703-1839 and the Route to Great Mollaship	1703	1839	Madeline Zilfi	1976
The Origins of Modern Legal Adoption: Child Exchange in Boston, 1851-93	1851	1893	Jamil Zainaldin	1976
Prostitution and Public Policy: From Regulation to Suppression, 1858-1920	1858	1920	James Wunsch	1976
Fancy's Show Box: Performance in the Republic, 1790-1866	1790	1866	Barbara Whitehead	1976
Growth and Conflict in the German Metal Workers' Union: The Experience of Two German Cities, 1900-1925	1900	1925	Steven Goulden	1976
Child Welfare and Social Progress: A History of the United States Children's Bureau, 1912-1935	1912	1935	Louis Covotsos	1976
Reading, Writing and Reconstruction: Freedmen's Education in the South, 1865-1870	1865	1870	Robert Morris	1976
Nation, Société, Loi, Représentant: Political Language and the Philosophes (1765-1785)	1765	1785	Gerald Oppenheimer	1976
'A More Perfect Union': Slavery, Comity, and Federalism: 1787-1861	1787	1861	Paul Finkelman	1976
The Intelligentsia-in-Exile: Sovremennye Zapiski and the History of Russian Emigre Thought, 1920-1940	1920	1940	Nicholas Hayes	1976
The Russian Foreign Ministry under Nicholas II: 1894-1914	1894	1914	Helen Dittmer	1977
Zoning and Residential Segregation: A Social and Physical History, 1910-40	1910	1940	Barbara Flint	1977
The Study of Education at the University of Chicago, 1892-1958	1892	1958	Woodie White	1977
The Anglican Left: Radical Social Reformers in the Church of England and the Protestant Episcopal Church, 1846-1954	1846	1954	Bernard Markwell	1977
The Reconstruction of Psychology in Germany, 1780-1850	1780	1850	David Leary	1977
The Parisian Police under Fire: The Campaign against the Prefecture of Police, 1870-1884	1870	1884	William Allin	1977
Politics and the Economy in the Hispanic Antilles 1789-1820	1789	1820	Rene delaPedrajaToman	1977
Prosperity and Misery in Modern Bengal: The Bengal Famine of 1943-44	1943	1944	Paul Greenough	1977
Madras: The Growth of a Colonial City in India (1780-1840)	1780	1840	Susan Neild	1977
Slave Conspiracies and Uprisings in Puerto Rico, 1796-1848	1796	1848	Guillermo Barak	1977
The New Deal and Taxation, 1933-1939: The Limits of Symbolic Reform	1933	1939	Mark Leff	1978
The Beginnings of Modern Industrial Unionism in the Southwest: Labor Trouble among Unskilled Copper Workers, 1903-1917	1903	1917	Philip Mellinger	1978
The Administrative and Judicial Elite in Ireland, 1892-1922	1892	1922	Lawrence McBride	1978
The French Radical Party and the Problem of French Relations with Russia, 1917-1939	1917	1939	Paul Mageli	1978
Liberalism and the Liberal Party in Britain, 1899-1908	1899	1908	George Bernstein	1978
The Deutsche Hochschule für Politik: Public Affairs Institute for a New Germany, 1920-1933	1920	1933	Steven Korenblat	1978
Guidance and Work in the New York City Schools: A History of Vocational Guidance, 1898-1941	1898	1941	Edward Lorenz	1978
US Foreign Policy and Cultural Relations, 1938-1950	1938	1950	Frank Ninkovich	1978
The High School as an Adolescent Training Institution: An Inner History of Chicago Public Secondary Education, 1856-1940	1856	1940	Thomas Gutowski	1978
The Imperial Court and the Province: A Social and Administrative History of Pre-British Awadh (1775-1856)	1775	1856	Michael Fisher	1978
The Diplomacy of Silence: The American Foreign Service, The Soviet Union and the Cold War, 1933-1946	1933	1946	Hugh DeSantis	1978
Concern for Family Stability in American Opinion, 1880-1920	1880	1920	Joseph Candela	1978
Race and Politics in North Carolina, 1872-1901: The 'Black Second' Congressional District	1872	1901	Eric Anderson	1978
The Making of the President, Brazil 1955: The Campaign of Juscelino Kubitschek	1955	1955	Edward Riedinger	1978
Church, University, Enlightenment: The Moderate Literati of Edinburgh, 1720-1793	1720	1793	Richard Sher	1979
The Development of the National Department (Wydzial Narodowy) as Representative of the Polish American Community in the United States 1916-1923	1916	1923	Louis Zake	1979
The Consolidation of Colonialism in North America, 1763-1796	1763	1796	Dorothy Jones	1979
Thamarat al-Funun, Syria's First Islamic Newspaper, 1875-1908	1875	1908	Donald Cioeta	1979
Criminals, Crime, and Punishment in Philadelphia, 1866-1916	1866	1916	Timothy Naylor	1979
The Unknown Commissariat: The Soviet Commissariat of Nationalities, Narkomnats, 1917-1924	1917	1924	Stephen Blank	1979
Actors and American Culture, 1880-1920	1880	1920	Benjamin McArthur	1979
The Role of the Radical Fraternity in the Turn to Political Terror within Russian Revolutionary Populism: A Statistical Analysis and Group Biography of Activists within the Populist Movement of the 1870s	1870	1870	Stephen Young	1980
French Settler Politics during the Algerian War, 1954-1958	1954	1958	Stuart Van Dyke	1980
Interest Group Conflict and Revolutionary Politics: A Social History of La Comarca Lagunera, Mexico, 1888-1911	1888	1911	William Meyers	1980
The Underclass: Tramps and Vagrants in American Society, 1865-1930	1865	1930	Kenneth Kusmer	1980
Class Struggle in the Pletzl: Jewish Immigrant Workers in Paris, 1881-1914	1881	1914	Nancy Green	1980
Noblesse Oblige: Charity and Cultural Patronage in Chicago, 1849 to 1929	1849	1929	Kathleen McCarthy	1980
'Industrial Literature': An Early History of La Presse, 1836-1848	1836	1848	Jean Knoll	1980
William Henry Cavendish Bentinck, Third Duke of Portland: The Years in Opposition, 1738-1794	1738	1794	David Ross	1980
Social Change, Religious Practice and Political Development in a Catholic Region of Central Europe: Rhineland- Westphalia 1830-1880	1830	1880	Jonathan Sperber	1980
The Dawn of the Urban-Industrial Age: The Social Structure of Philadelphia, 1790-1830	1790	1830	Tom Smith	1980
Technology and Pollution: Chicago's Water Policy, 1833-1930	1833	1930	James O'Connell	1980
After Malthus: Darwin Working on His Species Theory, 1838-1859	1838	1859	Barry Gale	1980
Slovak Republicans and Slovak Populists 1923-1925	1923	1925	James Rogerson	1980
The Government, the Citizen, and the Creation of a New Sense of Community: Social Welfare, Local Organizations, and Dissent in Tokyo, 1905-1937	1905	1937	Sally Hastings	1980
A Society of Passengers: Rail Travel, 1865 to 1910	1865	1910	Sarah Gordon	1981
The Transformation of Black Political Leadership in Chicago, 1864-1942	1864	1942	Charles Branham	1981
Black American Missionaries in Colonial Africa, 1900-1940: A Study of Missionary-Government Relations	1900	1940	Lillie Johnson	1981
The Emergence of a Consumer Interest in America, 1870-1930	1870	1930	Peter Samson	1981
Race and the Chicago Press, 1850-1877	1850	1877	William Poole	1981
The 1848 Praieira Revolt in Brazil	1848	1848	Nancy Naro	1981
Kinship, Business, and Politics: The Martínez del Río Family in Mexico, 1824-1864	1824	1864	David Walker	1981
Continuity and Change in German Labor Relations: The Experience of a Single Factory, 1927 to 1960	1927	1960	John Fonte	1981
The Parnell Myth and Irish Politics 1891-1956	1891	1956	William Murphy	1981
Jansenists and Ideologues: Opposition Theory in the Parlement of Paris, 1750-1775	1750	1775	D. Carroll Joynes	1981
Jesuit Preaching in Paris, 1729-1762	1729	1762	M. Daniel Price	1981
The Shaping of Postwar Italian Politics: Italy, 1945-1948	1945	1948	Douglass Day	1982
The Educational Policy and Mission Schools of the Baptists in British Mandated Cameroon, 1922-1945: The Policy and Education Work of Carl Bender, Paul Gebauer, and George Dunger	1922	1945	Charles Weber	1982
River Towns in the Great West, 1835-1860	1835	1860	Timothy Mahoney	1982
Financial Limitations, Technological Innovations and British Naval Policy, 1904-1910	1904	1910	Jon Sumida	1982
The Contributions of J.H.M. Wedderburn to the Theory of Algebras, 1900-1910	1900	1910	Karen Parshall	1982
Family Limitation in American Culture, 1830-1900	1830	1900	Janet Brodie	1982
Embattled Establishment: Protestants and Power in Cleveland, 1836-60	1836	1860	Michael McTighe	1983
Conservative Pressure Groups in Edwardian England, 1894-1914	1894	1914	Frans Coetzee	1983
A Social Analysis of the French Socialist Vote in the 1914 Legislative Elections in Sceaux	1914	1914	Marvin Ciporen	1983
Computers in Medicine, 1950-1980: The Relationship between History and Policy	1950	1980	Bonnie Kaplan	1983
Decline of the German-American Community in Buffalo, 1855-1925	1855	1925	Andrew Yox	1983
Toward Armageddon: The Foundations of United States Nuclear Strategy, 1945-1961	1945	1961	David Rosenberg	1983
The Green Revolution and the Politics of Agricultural Development in Mexico since 1940	1940	1940	Stephen Lewontin	1983
See What the Afro Says: The Baltimore Afro-American, 1892-1950	1892	1950	Hayward Farrar	1983
Governing the New Metropolis: The Development of Urban and Suburban Governments in Cook County, Illinois, 1831 to 1902	1831	1902	Ann Keating	1984
The Evolution of the Soviet General Staff, 1917-1941	1917	1941	Philip Bayer	1984
U.S. Business Interests and the Sisal Industry of Yucatan, Mexico, 1876-1924	1876	1924	Diane Roazen-Parrillo	1984
Popular Culture in Urban India: The Artisans of Banaras, c.1884-1984	1884	1984	Nita Kumar	1984
Conflict and Adaptation in the Argentine Pampas 1750-1880	1750	1880	Kristine Jones	1984
History as a Moral Force against Individualism: Karl Lamprecht and the Methodological Controversies in the German Human Sciences, 1880-1914	1880	1914	Susan Schultz	1985
Piety and Politics: Catholic Revival and the Generation of 1905-1914 in France	1905	1914	Paul Cohen	1985
The Found Generation: Chinese Communism in Europe, 1919-1925	1919	1925	Marilyn Levine	1985
Family, Land, and Credit: Yankee Communities on the Michigan Frontier, 1830-1860	1830	1860	Susan Gray	1986
The Straits in Crisis: America and Long-Term Disposition of Taiwan, 1950-1958	1950	1958	Keiji Nakatsuji	1986
Shina: Japan's Representation of China 1899-1926	1899	1926	Stefan Tanaka	1986
The American Tuberculosis Crusade, 1889-1917: The Rise of a Modern Health Campaign	1889	1917	Michael Teller	1986
The Popularization of Medicine: Medical Sciences in American Magazines, 1870-1920	1870	1920	Terra Ziporyn	1986
Religion and Rural Politics in France: Social Catholicism in Lower Brittany, 1890-1926	1890	1926	Caroline Ford	1987
The Disposition of the Public Lands in Mexico, 1876-1911	1876	1911	Robert Holden	1987
Anatomy of Conspiracy: The Origins of the Theory of Philosophe Conspiracy, 1750-1789	1750	1789	Amos Hoffman	1987
The Introduction of American Law in the Philippines and Porto Rico, 1898-1905	1898	1905	Winfred Thompson	1987
Thomas Power O'Connor, 1848-1929	1848	1929	Fred Hicks	1987
Politics, Law, and Federal Regulation: The United States Court of Appeals for the Seventh Circuit, 1900-1948	1900	1948	Rayman Solomon	1987
The Origins of Modern Historical Consciousness, 1822-1848: Hegel's Philosophy of History and Its Critique by Ranke and Marx	1822	1848	Omar Dahbour	1987
The Church and the Land: The National Catholic Rural Life Conference and the American Society, 1923-1985	1923	1985	David Bovee	1987
The Interaction of Science and Diplomacy: Latin America, the United States and Nuclear Energy, 1945-1955	1945	1955	Regis Cabral	1987
The History of Blacks in Resort Towns: Newport, Rhode Island and Saratoga Springs, New York 1870-1930	1870	1930	Myra Armstead Young	1987
Reluctant Allies: The United States Army Air Forces and the Soviet Air Force, 1941-1945	1941	1945	Daniel Bolger	1987
Rule of Roman Law in Romantic Germany, 1790-1860 	1790	1860	James Whitman	1988
The Good to be Done: A History of Juvenile Protective Association of Chicago, 1898-1976	1898	1976	Paul Anderson	1988
The French Revolution in Russian Intellectual and Political Life 1789-1922	1789	1922	Dmitry Shlapentokh	1988
Space, Time, and Inertia in the Foundations of Newtonian Physics, 1870-1905	1870	1905	Robert Disalle	1988
Captain Paul Cuffe, 1759-1817: Liminality of the Free, and Freed, Black	1759	1817	Amanda Brooks	1988
The Mexican University During the Revolution, 1910-1920	1910	1920	F. Javier Garcia Diego	1988
The Impact of Colonialism on Health in French Equatorial Africa, 1880-1934	1880	1934	Rita Headrick	1988
From Confessionalism to Regional Patriotism: Popular Piety and the Emergence of a New Political Culture in the Palatinate, 1740-1832 	1740	1832	John Roth	1989
Before the Machine: Municipal Government in Chicago, 1833-1872 	1833	1872	Robin Einhorn	1989
The Anxiety of Progress: The French Anticipation Novels of the 1950's 	1950	1950	Bradford Lyau	1989
Diplomacy of Illusion: China's Quest for Anti-Japanese Alliances, 1931-1941 	1931	1941	You-Li Sun	1989
'To Be Mayor of New York': The Transfer of Political Power from the Irish to the Jews and the Decline of the Political Machine in New York City, 1881-1977 	1881	1977	Christopher Mcnickle	1989
The Formation of Two Revolutionary Discourses in Modern Iran: The Constitutional Revolution of 1905-1909 and the Islamic Revolution of 1978-1979 	1978	1979	Mohamad Tavakoli-Targhi	1989
Cardenismo Revisited: The International Dimensions of the PostReform Cdrdenas Era, 1937-40	1937	1940	Friedrich Schuler	1990
The Politics of Culture: Historical and Critical Theory in Great Britain, 1946-79	1946	1979	Dennis Dworkin	1990
Escaping Underdevelopment? Mexico, the United States, and the World Crisis, 1938-46	1938	1946	David Burns	1990
Tabriz under Ottoman Rule, 1725-1731	1725	1731	Fariba Zarinebaf	1991
When the Odds Were Even: An Operational Analysis of the Bosges Mountain Campaign, October 1944-January 1945	1944	1945	Keith Bonn	1991
The Transformation of a Peripheral Society: A Social History of Nuevo Leon, 1848-1920	1848	1920	Juan Mora-Torres	1991
Archaeology and Cultural Politics in Germany, 1800-1936: The Decline of Hellenism	1800	1936	Suzanne Marchand	1992
The Dark and Tangled Recesses of Knowledge: Theology and the Moral Sciences at Cambridge, 1812-37	1812	1837	David Valone	1992
Mexican Steelworkers and the United Steelworkers of America in the Midwest: The Inland Steel Experience, 1936-1976	1936	1976	Jorge Hernandez-Fujigaki	1992
Prairie Statesmen: The Illinois General Assembly, 1900-20	1900	1920	Gerald Mattran	1992
Peasants, Politics, and State Formation in 19th-Century Mexico: Guerrero, 1800-1857	1800	1857	Peter Guardino	1992
The Structure of Time: Pike County, Mississippi, 1815-1912	1815	1912	Martin Hardeman	1992
Peasants, Caudillos, and the State in Peru: Cusco in the Transition from Colony to Republic, 1780-1840	1780	1840	Charles Walker	1992
From Village Riot to Regional Rebellion: Social Protest in the Huasteca, Mexico, 1760-1870	1760	1870	Michael Ducey	1992
From Recovery to Instability: Municipal Politics and Social Provision in Weimar Germany, 1924-1930	1924	1930	Benjamin Lieberman	1992
Elite Mobility, Local Control, and Social Transformation in Modern China, 1900-1937	1900	1937	Xin Zhang	1992
Egyptian-American Relations, 1967-1970: The View from Egypt	1967	1970	Ahmed Ibrahim	1992
Imagining a Nation: The Constitutional Question in Prussia, 1806-1825	1806	1825	Matthew Levinger	1992
An Agrarian Republic: Production, Politics, and the Peasantry in El Salvador, 1740-1920	1740	1920	Aldo Lauria-Santiago	1992
Shattered Dreams: The American Working Class and the Origins of the Cold War, 1945-1949	1945	1949	Steven Ashby	1993
Bureaucracy and Affliction: The World of German Social Insurance and the Birth of the Social State, 1884-1929	1884	1929	Greg Eghigian	1993
Class and Nation: National Integration, Class Mobilization, and Identity in the German-Bohemian Workers' Movement, 1870-1911	1870	1911	Karl Bahm	1993
Those Who Labor in the Earth: The Families and Farms of Fountain Green, Illinois, 1830-80	1830	1880	Susan Rugh	1993
Turkey: Etatism and Foreign Relations in the 1930s	1930	1930	Dilek Barlas	1993
The Peel Commission, Sir Charles Wood, and the Reorganization of the Army of India, 1858-1863	1858	1863	Michael Kasprowicz	1993
Defending the Free World: John F. Kennedy, Lyndon Johnson, and the Vietnam War, 1961-65	1961	1965	Orrin Schwab	1993
The Children of Athens: Chicago Professionals and the Creation of a Credentialed Social Order, 1870-1920	1870	1920	Thomas Goebel	1993
'Financing the American Dream': Debt, Credit, and the Making of a Consumer Culture, 1890-1940	1890	1940	Lendol Calder	1993
Indians, Merchants, and Markets: Trade and Repartimiento Production of Cochineal Dye in Colonial Oaxaca, 1750-1821	1750	1821	Jeremy Baskes	1993
Between Patronage and Partnership: The Evolution of U.S.-Nicaraguan Relations, 1953-1961	1953	1961	Michael Gambone	1993
Legislating in the Family: Gender, Population, and Republican Politics in France, 1870-1920	1870	1920	Jean Pedersen	1993
Religious Alterity in the Thought of Islamic Reformers in the Ottoman Empire, 1856-1905	1856	1905	Youssef Rahme	1994
Curricula Development and Academic Professionalization at Peking University, 1898-1937	1898	1937	Xiaoqing Chen	1994
Political Culture and State Identity: The Reconstruction of Austrian Social Democracy, 1945-1958	1945	1958	Matthew Berg	1994
Peasant Religion in Post-Emancipation Russia: Voronezh Province, 1880-1917	1880	1917	Chris Chulos	1994
In a Class by Themselves: The Social Basis of the Women's Socialist Movement in France and England, 1899-1914	1899	1914	Emary Aronson	1994
Vagrants and Citizens: Politics and the Poor in Mexico City, 1808-1836	1808	1836	Richard Warren	1994
A German Path to Fordism: The Socioeconomic Transformation of a Region--The Bergische Land and Maerkische Land, 1930-1960	1930	1960	Franz Henne	1994
Population and Power: The Religious Debate over Contraception, 1916-36	1916	1936	Kathleen Tobin	1994
Red Arctic: The Political and Cultural Significance of the Arctic in the Soviet Union, 1932-39	1932	1939	John McCannon	1994
The Chicago Faculty and the University Ideal, 1891-1929	1891	1929	Daniel Meyer	1994
Imagining History: Discourses of Cultural Politics in Japan, 1930s and 1960s	1960	1960	Yoshikuni Igarashi	1994
State and Social Transformation in North Korea, 1945-50	1945	1950	Charles Armstrong	1994
'Rich Men,' 'Big Powers,' and Wastelands: The Tlingit-Tsimshian Border of the Northern Pacific Littoral, 1799-1867	1799	1867	Jonathan Dean	1994
The Constitutive Principles of Early Victorian Christian Socialism, 1848-54	1848	1854	Ralph Pugh	1995
Commercialization of Dissent: Counterculture and Consumer Culture in the American 1960s	1960	1960	Thomas Frank	1995
Social Costs of Japan's Industrial Revolution, 1868-1946	1868	1946	Gail Ann Honda	1995
Peasants, Caciques, and Camarillas: Rural Politics and State Formation in Yucatan, 1924-40	1924	1940	Ben Fallaw	1995
Organizing an American Conscience: The Conference on Science, Philosophy, and Religion, 1940-68	1940	1968	Fred Beuttler	1995
A Study of the Ottoman Land Code and Khedive Said's Law of 1858	1858	1858	Denise Jorgens	1995
Creating Tropical Yankees: The 'Spiritual Conquest' of Puerto Rico, 1898-1908	1898	1908	Jose-Manuel Navarro	1995
Turksib: The Building of the Turkestano-Siberian Railroad and the Politics of Production during the Cultural Revolution, 1926-31	1926	1931	Matthew Payne	1995
San Francisco's 'Chinatown': Race and the Cultural Politics of Public Health, 1854-1951	1854	1951	Nayan Shah	1995
The Conduct of Reprisals by the German Army in the Southern USSR, 1941-43	1941	1943	Truman Anderson	1995
Gendered Journeys: A History of Injury, Public Transport, and the American Law, 1865-1920	1865	1920	Barbara Welke	1995
Containing the Rock Gesture: Mass Culture and Hegemony in Mexico, 1955-75	1955	1975	Eric Zolov	1995
Civilizing New York City: Police Patrol, 1880-1935	1880	1935	Christopher Thale	1995
The Boundaries of Irish National Identity: The Emergence of the Irish-Ireland Ideal, 1890-1912	1890	1912	Frank Biletz	1995
The Great Urals: Regional Interests and the Evolution of the Soviet System, 1917-37	1917	1937	James Harris	1996
The Pathos of Everyday Objects: West German Industrial Design Culture, 1945-65	1945	1965	Paul Betts	1996
Protestants in Strasbourg, 1870-1914: Religion and Society in Late 19th-Century Europe	1870	1914	Anthony Steinhoff	1996
Culture of Shortages: A Social History of Soviet Trade, 1917-53	1917	1953	Julie Hessler	1996
Hermanos en la Patria: Nationalism, Honor, and Rebellion: Augusto Sandino and the Army in Defense of the National Sovereignty of Nicaragua, 1927-34	1927	1934	Richard Grossman	1996
The Future of the Japanese Colonial Empire, 1914-31	1914	1931	Michael Schneider	1996
America's Germany, Germany's Europe: Konrad Adenauer, the CDU/CSU, and the Politics of German Westbinding, 1949-63	1949	1963	Ronald Granieri	1996
An Affirmative Action Empire: Ethnicity and the Soviet State, 1923-38	1923	1938	Terry Martin	1996
Prostitution, Revolution, and Social Reform in Mexico City, 1918-40	1918	1940	Katherine Bliss	1996
Rights and Passage: Marking Outcasts and Making Citizens in Soviet Russia, 1926-36	1926	1936	Golfo Alexopoulos	1996
Yoshisuke Ayukawa and U.S.-Japan Business and Diplomatic Relation? Nissan, Manchuria, and America, 1937-52	1937	1952	Haruo Iguchi	1996
Coming under the Law: Indian/White Relations and Legal Change in Washington Territory, 1853-89	1853	1889	Bradley Asher	1996
Dying with an Enlightening Fall: Poland in the Eyes of German Intellectuals, 1764-1800	1764	1800	David Pickus	1996
Representative Government in Peru: Fiction and Reality, 1821-45	1821	1845	Cristobal Aljovin de Losada	1996
Moral Consciousness and the Politics of Exclusion: Nursing in German Psychiatry, 1918-45	1918	1945	Bronwyn McFarland-Icke	1997
Stalinist Mass Journalism and the Transformation of the Soviet Newspapers, 1926-32	1926	1932	Matthew Lenoe	1997
Representing the Rural: Place as Method in the Formation of Japanese Native Ethnology, 1910-45	1910	1945	Alan Christy	1997
Indian Missions, Immigrant Migrations, and Regional Catholic Culture: Slovene Missionaries in the Upper Great Lakes, 1830-92	1830	1892	Maureen Harp	1997
Policing the Child: Juvenile Justice in Chicago, 1870-1925	1870	1925	David Tanenhaus	1997
Manhood, Citizenship, and the Formation of the National Guards, Illinois, 1870-1917	1870	1917	Eleanor Hannah	1997
From Caregivers to Consumers: Domestic Medicine and the Transformation of Medical Practice in the Third French Republic, 1871-1914	1871	1914	Cherilyn Lacy	1997
A Member of the State: Citizenship Law and Its Application in Czechoslovakia, 1918-38	1918	1938	Alicia Cozine	1997
France, America, and Western Security, 1948-54: A Study in Comparative Grand Strategy	1948	1954	Michael Creswell	1997
Uncommon Backyard: Regional Influence and National Sovereignty in Mexican Relations between the United States and Central America, 1917-41	1917	1941	Nicholas Maher	1997
Workers or Citizens: The Construction of Political Identities in Democratic Argentina, Rosario, 1912-30	1912	1930	Matthew Karush	1997
City of Courts: Crime, Law, and Social Policy in Chicago, 1880-1930	1880	1930	Michael Willrich	1997
The Foundation of Despotism: Peasants, Property, and the Trujillo Regime, 1930-61	1930	1961	Richard Turits	1997
Zouping, 1911-49: A Social and Political History	1911	1949	Zhijia Shen	1997
Village Social Relations and the Reception of Soldiers' Family Aid Policies in Russia, 1914-21	1914	1921	Emily Pyle	1997
Popular Movements and the State in Michoacan, Mexico, 1917-34	1917	1934	Christopher Boyer	1997
Caught between Profits and Rituals: National Contestants in Texas and New Mexico, 1821-48	1821	1848	Andres Resendez	1997
Pays and Nation: The Uneasy Formation of an Historical Patrimony in France, 1830-70	1830	1870	Stéphane Gerson	1997
Ideologically Firm: Soviet Theater Censorship, 1921-28	1921	1928	Steven Richmond	1997
Between Alienation and Citizenship: The Evolution of Black West Indian Society in Panama, 1914-64	1914	1964	Trevor O'Reggio	1997
Education Not Punishment: Juvenile Justice in Germany, 1890-1930	1890	1930	Gabriel Finder	1997
The Magic of Modernity: Dictatorship and the Politics of Culture in the Dominican Republic, 1916-62	1916	1962	Lauren Derby	1998
'One Valley and a Thousand': Remaking America, India, and the World in the Image of the Tennessee Valley Authority, 1945-70	1945	1970	Daniel Klingensmith	1998
A History of Neighborliness in Alt-Hildesheim, 1900-50: Custom, Transformation, Memory	1900	1950	Andrew Bergerson	1998
Incorporating and Empire: From Deregulating Labor to Regulating Leisure in Cuba, Puerto Rico, Hawaii, and the Philippines, 1898-1909	1898	1909	Katharine Bjork	1998
Charted Histories in Colonial India, 1760-1900	1760	1900	Ian Barrow	1998
Foreigners, Families, and Citizens: Contradictions of National Citizenship in France, 1789-1830	1789	1830	Jennifer Heuer	1998
Against the Bourgeois Spirit: The Nicaraguan Elite under U.S. Imperialism, 1910-34	1910	1934	Michel Gobat	1998
Within the Boundaries of Equality: Race, Gender, and Citizenship in Bolivia (Cochabamba, 1880-1953)	1880	1953	Laura Gotkowitz	1998
Redefining the Celts: Rival Disciplinary Traditions and the Peopling of the British Isles, 1706-1904	1706	1904	Michael Morse	1999
The Struggle for Order: Industrial Relations in Chicago, 1900-40	1900	1940	Andrew Cohen	1999
The Ring Combination: Information, Power, and the World News Agency Cartel, 1856-1914	1856	1914	Alexander Nalbach	1999
Nationalism, Science, Race, and Gender: A Historical Study of Eugenics in China, 1890s-1940s	1890	1890	Yueh-Tsen Chung	1999
Eugenics beyond Borders: Science and Medicalization in Mexico and the U.S. West, 1900-50	1900	1950	Alexandra Stern	1999
German Body Culture: The Ideology of Moderation and the Educated Middle Class, 1790-1850	1790	1850	Heikki Lempa	1999
More than an Airlift: Constructing the Berlin Blockade as a Cold War Battle, 1946-49	1946	1949	Paul Steege	1999
'A Form of Social Eccentricity Bordering Very Nearly on Madness': Father Mathew, Irish Temperance, and Irish Identity, 1838-46	1838	1846	Paul Townend	1999
Culture and Dignity: The Question of Untouchability in Colonial Bihar, 1860s-1950s	1860	1860	Awadhendra Sharan	1999
Musical Publics: Progressive Reform and Music Making in Chicago, 1869-1930	1869	1930	Derek Vaillant	1999
The Unsolid South: An Oral History of Race, Class, and Geography in Hancock County, Georgia, 1910-50	1910	1950	Mark Schultz	1999
The Colonial Armies of the French Third Republic: Overseas Formation and Continental Deployment, 1871-1920	1871	1920	William Dean	1999
Buying into the Middle Class: Residential Segregation and Racial Formation in the United States, 1920-64	1920	1964	Theresa Mah	1999
Drafting the Nation: Military Conscription and the Formation of a Modern Polity in Tsarist and Soviet Russia, 1905-25	1905	1925	Joshua Sanborn	1999
The Politics of Fertility: Population Politics and Health Care in Berlin, 1919-72	1919	1972	Annette Timm	1999
'What! The Mexicans, Americans?' Race and Ethnicity, Mexicans in Chicago, 1916-39	1916	1939	Gabiela Arredondo	1999
Neither German nor Pole: Catholicism and National Ambivalence in Upper Silesia, 1890-1914	1890	1914	James Bjork	1999
Uniting Mountain and Plain: Urbanization, Law, and Environmental Change in the Denver Region, 1858-1903	1858	1903	Kathleen Brosnan	1999
Battling the Plantation Mentality: Consciousness, Culture, and the Politics of Race, Class, and Gender in Memphis, 1940-68	1940	1968	Laurie Green	1999
Making China Part of the Globe: The Impact of America's Boxer Indemnity Remissions on China's Academic Institutional Building in the 1920s	1920	1920	Yelong Han	1999
Medical Welfare during Late Stalinism: A Study of Doctors and the Soviet Health System, 1945-53	1945	1953	Christopher Burton	2000
In Defense of Christian Hungary: Religion, Nationalism, and Anti-Semitism in Interwar Hungary, 1919-44	1919	1944	Paul Hanebrink	2000
Law and Chicago's Waters, 1820-1920	1820	1920	Betsy Mendelsohn	2000
Negotiating Power through Everyday Practices in French Vietnam, 1880-1924	1880	1924	Erica Peters	2000
Violence and the Civilizing Mission: Native Justice in French Colonial Vietnam, 1858-1914	1858	1914	James Barnhart	2000
Vienna Falling: Total War and Everyday Life, 1914-18	1914	1918	Maureen Healy	2000
Spectacles of Monstrosity and the Embodiment of Identity in France, 1829-1914	1829	1914	Diana Snigurowicz	2000
The Rights Problem: Gender and Democracy in the Czech Lands, 1918-45	1918	1945	Melissa Feinberg	2000
White-Collar Revolutionaries: Middle-Class Unions and the Rise of the Chilean Left, 1918-38	1918	1938	José Silva	2000
The Making of Modern Solidarity: French Jews and World Jewry, 1789-1889	1789	1889	Lisa Leff	2000
Exploring Reform: De-Stalinization in Moscow's Arbat District, 1953-68	1953	1968	Stephen Bittner	2000
Imagining a White South: Narratives of Border and Community, 1890-1920	1890	1920	Trent Watts	2000
Greater Britain: The Rise and Decline of a Victorian Idea, 1865-1939	1865	1939	David Kerstein	2000
When Home Became Away: American Expatriates and New Social Movements in Toronto, 1965-77	1965	1977	David Churchill	2000
Compulsory Schooling from Idea to Institution: A Case Study of the Development of Compulsory Attendance in Illinois, 1857-1907	1857	1907	Stephen Provasnik	2000
Reproducing the French Race: Immigration, Reproduction, and National Identity in France, 1900-39	1900	1939	Elisa Camiscioli	2000
The Housing Question in Bremen, 1840-1933: The Modern City Gives Rise to the Modern State	1840	1933	Benjamin Veghte	2000
Plowshares into Swords: Anti-Colonial Resistance and Popular Nationalism in French Mandate Syria, 1925-26	1925	1926	Michael Provence	2001
For the Accommodation of Strangers: Urban Space, Travel, Law, the Market, and Modernity at the American Hotel, 1789-1908	1789	1908	Andrew Sandoval-Strausz	2001
